,name,price
0,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Gold+BoxaportabilaSamsungLevelBoxSlim,Red",3.699
1,"TelefonmobilSamsungGalaxyJ5(2016),DualSim,16GB,4G,Black",929
2,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Black+BoxaportabilaSamsungLevelBoxSlim,Black",3.699
3,"TelefonmobilSamsungGalaxyJ5(2016),DualSim,16GB,4G,Gold",929
4,"TelefonmobilAppleiPhone7,32GB,Black",3.499
5,"TelefonmobilWinkCityS,DualSIM,8GB,3G,Black",389
6,"TelefonmobilHuaweiNova,DualSim,32GB,4G,TitaniumGrey",1.779
7,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,Black",1.199
8,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,Black",539
9,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,Gold",1.199
10,"TelefonmobilSamsungGALAXYS7,32GB,4G,Black",2.899
11,"TelefonmobilLenovoA7010,DualSIM,32GB,4G,Black",999
12,"TelefonmobilHuaweiP9,DualSim,32GB,4G,TitaniumGrey",2.299
13,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,Black",829
14,"TelefonmobilSamsungGALAXYS7,32GB,4G,Gold",2.899
15,"TelefonmobilWinkWorldSE,DualSIM,8GB,3G,Black",239
16,"TelefonmobilASUSZenFoneGoZB500KG,DualSim,8GB,Black",449
17,"TelefonmobilASUSZenFone3ZE520KL,DualSim,32GB,4G,SaphireBlack",1.589
18,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,Gold",829
19,"TelefonmobilAppleiPhone7,32GB,RoseGold",3.499
20,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Gold",389
21,"TelefonmobilWinkShareSE,DualSIM,8GB,Black",319
22,"TelefonmobilAppleiPhone5S,16GB,Silver",1.599
23,"TelefonmobilSamsungGalaxyA5(2016),16GB,4G,Gold",1.599
24,"TelefonmobilAppleiPhone5S,16GB,SpaceGray",1.599
25,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,White",1.199
26,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Black",389
27,"TelefonmobilASUSZenFone3MaxZC520TL,DualSim,32GB,4G,Gray",999
28,"TelefonmobilSamsungGalaxyJ3,DualSim,8GB,4G,Black",729
29,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Black",3.699
30,"TelefonmobilAppleiPhone7Plus,32GB,Black",4.119
31,"TelefonmobilAppleiPhone7,32GB,Gold",3.499
32,"TelefonmobilASUSZenFoneGoZB452K,DualSim,8GB,Black",419
33,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Black",1.899
34,"TelefonmobilAppleiPhone7,128GB,Black",3.999
35,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,Gold",539
36,"TelefonmobilASUSZenFoneGoZB500KL,DualSim,16GB,4G,Black",699
37,"TelefonmobilWinkGlorySE,DualSIM,8GB,Black",339
38,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,White",829
39,"TelefonmobilAllviewX3Soul,DualSIM,32GB,Gold",1.389
40,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Gold",1.899
41,"TelefonmobilHuaweiY6IICompact,DualSIM,16GB,4G,Black",649
42,"TelefonmobilASUSZenFone2ZE551ML,DualSim,32GB,4G,Gold",1.349
43,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,White",389
44,"TelefonmobilLenovoK6,DualSIM,16GB,4G,Gray",999
45,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Gold",3.699
46,"TelefonmobilAppleiPhone7,32GB,Silver",3.499
47,"TelefonmobilSamsungGalaxyA3(2016),16GB,4G,Black",1.199
48,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Blue",1.899
49,"TelefonmobilUMIRomeX,DualSIM,Quad-Core,8GB,8MP,Android5.1,Gold",758
50,"TelefonmobilHuaweiP9,DualSim,32GB,4G,Blue",2.299
51,"TelefonmobilLenovoK6,DualSIM,16GB,4G,Gold",999
52,"TelefonmobilSamsungGalaxyA3(2016),16GB,4G,Gold",1.199
53,"TelefonmobiliHuntOneLove,DualSIM,4G,5.5-inchFHD,Quad-Core,3GBRAM,32GB,Android6.0,Grey(includeHusaSiliconsiFolieProtectie)",1.099
54,"TelefonmobilSamsungGalaxyA3(2017),16GB,4G,Black",1.499
55,"TelefonmobilASUSZenFone2ZE551ML,DualSim,32GB,4G,Black",1.349
56,"TelefonmobilHuaweiNova,DualSim,32GB,4G,MysticSilver",1.779
57,"TelefonmobilLenovoVibeC2Power,DualSIM,16GB,4G,Black",789
58,"TelefonmobilSamsungGalaxyJ1(2016),8GB,4G,Black",689
59,"TelefonmobilSamsungGalaxyJ3,DualSim,8GB,4G,White",729
60,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Gold+BoxaportabilaSamsungLevelBoxSlim,Red",3.699
61,"TelefonmobilSamsungGalaxyJ5(2016),DualSim,16GB,4G,Black",929
62,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Black+BoxaportabilaSamsungLevelBoxSlim,Black",3.699
63,"TelefonmobilSamsungGalaxyJ5(2016),DualSim,16GB,4G,Gold",929
64,"TelefonmobilAppleiPhone7,32GB,Black",3.499
65,"TelefonmobilWinkCityS,DualSIM,8GB,3G,Black",389
66,"TelefonmobilHuaweiNova,DualSim,32GB,4G,TitaniumGrey",1.779
67,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,Black",1.199
68,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,Black",539
69,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,Gold",1.199
70,"TelefonmobilSamsungGALAXYS7,32GB,4G,Black",2.899
71,"TelefonmobilLenovoA7010,DualSIM,32GB,4G,Black",999
72,"TelefonmobilHuaweiP9,DualSim,32GB,4G,TitaniumGrey",2.299
73,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,Black",829
74,"TelefonmobilSamsungGALAXYS7,32GB,4G,Gold",2.899
75,"TelefonmobilWinkWorldSE,DualSIM,8GB,3G,Black",239
76,"TelefonmobilASUSZenFoneGoZB500KG,DualSim,8GB,Black",449
77,"TelefonmobilASUSZenFone3ZE520KL,DualSim,32GB,4G,SaphireBlack",1.589
78,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,Gold",829
79,"TelefonmobilAppleiPhone7,32GB,RoseGold",3.499
80,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Gold",389
81,"TelefonmobilWinkShareSE,DualSIM,8GB,Black",319
82,"TelefonmobilAppleiPhone5S,16GB,Silver",1.599
83,"TelefonmobilSamsungGalaxyA5(2016),16GB,4G,Gold",1.599
84,"TelefonmobilAppleiPhone5S,16GB,SpaceGray",1.599
85,"TelefonmobilHuaweiP9Lite,DualSim,16GB,4G,White",1.199
86,"TelefonmobilHuaweiY3II,DualSim,8GB,4G,Black",389
87,"TelefonmobilASUSZenFone3MaxZC520TL,DualSim,32GB,4G,Gray",999
88,"TelefonmobilSamsungGalaxyJ3,DualSim,8GB,4G,Black",729
89,"TelefonmobilSamsungGALAXYS7Edge,32GB,4G,Black",3.699
90,"TelefonmobilAppleiPhone7Plus,32GB,Black",4.119
91,"TelefonmobilAppleiPhone7,32GB,Gold",3.499
92,"TelefonmobilASUSZenFoneGoZB452K,DualSim,8GB,Black",419
93,"TelefonmobilSamsungGalaxyA5(2017),32GB,4G,Black",1.899
94,"TelefonmobilAppleiPhone7,128GB,Black",3.999
95,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,Gold",539
96,"TelefonmobilASUSZenFoneGoZB500KL,DualSim,16GB,4G,Black",699
97,"TelefonmobilWinkGlorySE,DualSIM,8GB,Black",339
98,"TelefonmobilHuaweiP8Lite,DualSim,16GB,4G,White",829
99,"TelefonmobilAllviewX3Soul,DualSIM,32GB,Gold",1.389
